FirmCode,FirmName,IsActive,IsConsultant,ConsultantType,Is1099,Website,VendorType,Note,NetDays,EIN,PayToAddress_Phone,PayToAddress_Street1,PayToAddress_Street2,PayToAddress_Street3,PayToAddress_Street4,PayToAddress_City,PayToAddress_State,PayToAddress_Zip,PayToAddress_Country,MainContact_Prefix,MainContact_Suffix,MainContact_Title,MainContact_FirstName,MainContact_LastName,MainContact_WorkPhone,MainContact_CellPhone,MainContact_WorkEmail,MainContact_HomeEmail,EnableEFT,CompanyID,CompanyName,ABA/Routing,Account#,Savings,EFType(SEC),_AltPhone,_MainEmail
ORL-VND-00059,"Benjamin Moore, CPA",TRUE,,,,,,,,,,720 N. Maitland Avenue,Suite 105,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00060,Berkshire,TRUE,,,,,,,,,,P O Box 644782,,,,Pittsburgh,PA,15264-4782,,,,,,,,,,,,,,,,,,,
ORL-VND-00061,Bijal Patel,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00062,BioFlorida,TRUE,,,,,,,,,561-653-3839,"525 Okeechobee Blvd., Suite 1500",,,,West Palm Beach,FL,33401,,,,,,,,,,,,,,,,,,,www.bioflorida.com
ORL-VND-00063,Bishop Engineering Company,TRUE,,,,,,,,,407-622-2477,219 Laurel Park,,,,Winter Park,FL,32792,,,,,,,,,,,,,,,,,,,
ORL-VND-00064,Bob Cortes Campaign,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00065,Bobes Associates,TRUE,,,,,,,,,,"Consulting Engineers, Inc.",150 Circle Drive,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00066,"Bockstall Design Associates, LLC",TRUE,,,,,,,,,,680 Morning Dove Circle,,,,Lake Mary,FL,32746,,,,,,,,,,,,,,,,,,,
ORL-VND-00067,Bonnett Design Group LLC,TRUE,,,,,,,,,,400 S. Orlando Ave. Ste #201,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00068,Bradley Hill,TRUE,,,,,,,,,,500 Inverness Ave,,,,Melbourne,FL,32940,,,,,,,,,,,,,,,,,,,
ORL-VND-00069,Brandywines,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00070,Brenda Carey Campaign,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00071,Briarpatch,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00072,Bright House Business  Solutions,TRUE,,,,,,,,,,,,,,PO Box,,7195,,,,,,,,,,,,,,,,,,,
ORL-VND-00073,Bright House Networks,TRUE,,,,,,,,,,P O Box 7195,,,,Pasadena,CA,91109-7195,,,,,,,,,,,,,,,,,,,
ORL-VND-00074,Bryson Votour,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00075,Building Systems Design,TRUE,,,,,,,,,,Dept 350,P O Box 4458,,,Houston,TX,77210-4458,,,,,,,,,,,,,,,,,,,
ORL-VND-00076,Bullwinkle's Systems Inc.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00077,Bury,TRUE,,,,,,,,,,7660 Woodway Drive,Ste 400,,,Houston,TX,77063,,,,,,,,,,,,,,,,,,,
ORL-VND-00078,Capital One,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00079,Capitol Allilance Group,TRUE,,,,,,,,,,106 East College Avenue,,,,Tallahassee,FL,32301,,,,,,,,,,,,,,,,,,,
ORL-VND-00080,"Carl Curtis Russell, Jr.",TRUE,,,,,,,,,,1111 Peak Circle,,,,Deltona,FL,32738,,,,,,,,,,,,,,,,,,,
ORL-VND-00081,Caroline Arrigoni,TRUE,,,,,,,,,,5357 Chatas Lane,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00082,Carter Hadley,TRUE,,,,,,,,,,211 Alexander Street,,,,Talladega,AL,35160,,,,,,,,,,,,,,,,,,,
ORL-VND-00083,Cash,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00084,Casselberry Chamber of Commerce FWF,TRUE,,,,,,,,,,527 Queens Mirror Circle,,,,Casselberry,FL,32707,,,,,,,,,,,,,,,,,,,
ORL-VND-00085,Casselberry Food & Wine Festival,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00086,Central Florida Historical Society,TRUE,,,,,,,,,,,,,,Central,FL,,,,,,,,,,,,,,,,,,,,
ORL-VND-00087,Century Link,TRUE,,,,,,,,,,P O Box 1319,,,,Charlotte,NC,28201-1319,,,,,,,,,,,,,,,,,,,
ORL-VND-00088,Chamberlain West,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00089,Charles C. Bohl,TRUE,,,,,,,,,,1103 Pizarro Street,,,,Coral Gables,FL,33134,,,,,,,,,,,,,,,,,,,
ORL-VND-00090,"Charles Wayne Consulting, Inc.",TRUE,,,,,,,,,,"2300 Maitland Center Parkway, Suite 212",,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00091,Charter Communications,TRUE,,,,,,,,,,P O Box 7186,,,,Pasadena,CA,91109-7186,,,,,,,,,,,,,,,,,,,
ORL-VND-00092,CHPA,TRUE,,,,,,,,,,"Consulting Engineers, Inc.","7660 Woodway Drive, Suite 400",,,Houston,TX,77063,,,,,,,,,,,,,,,,,,,
ORL-VND-00093,Chris Armstrong Lock,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00094,"Christmas For Children, Inc.",TRUE,,,,,,,,,,P O Box 941257,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00095,Chubb,TRUE,,,,,,,,,,PO Box 382001,,,,Pittsburgh,PA,15250-8001,,,,,,,,,,,,,,,,,,,
ORL-VND-00096,Citizens for Quality Government,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00097,City of Casselberry,TRUE,,,,,,,,,407-262-7700,95 Triplet Lake Drive,,,,Casselberry,FL,32707,,,,,,,,,,,,,,,,,,,
ORL-VND-00098,City Of Lake Mary,TRUE,,,,,,,,,,100 North Country Club Road,,,,Lake Mary,FL,32795,,,,,,,,,,,,,,,,,,,
ORL-VND-00099,City of Maitland,TRUE,,,,,,,,,,1776 Independence Lane,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00100,City Of Orlando,TRUE,,,,,,,,,,Attn:  Michael Lawrence,PO Box 4990,,,Orlando,FL,32802,,,,,,,,,,,,,,,,,,,
ORL-VND-00101,City of Winter Park,TRUE,,,,,,,,,,PO Box 1986,,,,Winter Park,FL,32790-1986,,,,,,,,,,,,,,,,,,,
ORL-VND-00102,CLEO,TRUE,,,,,,,,,,2014 Edge Water Drive #103,,,,Orlando,FL,,,,,,,,,,,,,,,,,,,,
ORL-VND-00103,Clyde S. Scoles,TRUE,,,,,,,,,,4737 Carskaddon Avenue,,,,Toledo,OH,43615,,,,,,,,,,,,,,,,,,,
ORL-VND-00104,Columbia Bank Equipment Finance,TRUE,,,,,,,,,,P O Box 848779,,,,Los Angeles,CA,90084-8779350,,,,,,,,,,,,,,,,,,,
ORL-VND-00105,Compliance Services,TRUE,,,,,,,,,,400 Capital Circle SE,Postal Mail Box 18321,,,Tallahassee,FL,32301,,,,,,,,,,,,,,,,,,,
ORL-VND-00106,ComTech21,TRUE,,,,,,,,,,P O Box 981062,,,,Boston,MA,02298-1062,,,,,,,,,,,,,,,,,,,
ORL-VND-00107,Copy Pros,TRUE,,,,,,,,,,9501 Satellite Blvd,Suite 104,,,Orlando,FL,32837,,,,,,,,,,,,,,,,,,,
ORL-VND-00108,Coral Gables Chamber of Commerce,TRUE,,,,,,,,,,224 Catalonia Avenue,,,,Coral Gables,FL,33134,,,,,,,,,,,,,,,,,,,
ORL-VND-00109,Cornell Fine Arts Museum,TRUE,,,,,,,,,,Rollins College,1000 Holt Avenue - 2765,,,Winter Park,FL,32789-4499,,,,,,,,,,,,,,,,,,,
ORL-VND-00110,Cornerstone Christian Church,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00111,Covelli Enterprises,TRUE,,,,,,,,,,Attn:  Holly Bower-Fryman,1400 Hope Road,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00112,Creative Printing & Publishing,TRUE,,,,,,,,,,"2300 Old Lake, FL",,,,Sanford,FL,32771,,,,,,,,,,,,,,,,,,,
ORL-VND-00113,Credit Services,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00114,Crossman & Company,TRUE,,,,,,,,,,3333 S. Orange Avenue,Suite 201,,,Orlando,FL,32806,,,,,,,,,,,,,,,,,,,
ORL-VND-00115,CSC,TRUE,,,,,,,,,,251 Little Falls Drive,,,,Wilmington,DE,19808-1674,,,,,,,,,,,,,,,,,,,
ORL-VND-00116,CSR Services,TRUE,,,,,,,,,,"4630 Kirkman Road, #159",,,,Orlando,FL,32811,,,,,,,,,,,,,,,,,,,
ORL-VND-00117,Curley & Pynn,TRUE,,,,,,,,,,258 Southhall Lane,Suite 130,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00118,"Custom Welding By Law, Inc.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00119,Customer refunds,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00120,Cutting Edge Network Technologies,TRUE,,,,,,,,,,"2290 Lucien Way, Suite 330",,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00121,"Daly Design Group, Inc.",TRUE,,,,,,,,,,913 N. Pennsylvania Avenue,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00122,"Daniel Rogers, Landscape Architect",TRUE,,,,,,,,,407-353-0112,1775 Mohawk Trail,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,daniel@rogers-la.com
ORL-VND-00123,Darry Spradley,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00124,David Beasley,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00125,David Meltlz,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00126,"Davron, LLC",TRUE,,,,,,,,,813-961-6632,8429 Land O Lakes Boulevard,,,,Land O'Lakes,FL,34638,,,,,,,,,,,,,,,,,,,www.davron.net
ORL-VND-00127,DBPR,TRUE,,,,,,,,,,PO Box 6300,,,,Tallahassee,FL,32314-6300,,,,,,,,,,,,,,,,,,,
ORL-VND-00128,DDC,TRUE,,,,,,,,,,Avenir Publishing Inc.,P O Box 253,,,Methuen,MA,01844,,,,,,,,,,,,,,,,,,,
ORL-VND-00129,"DDC-Avenir Publishing, Inc.",TRUE,,,,,,,,,,P O Box 253,,,,Methuen,MA,01844,,,,,,,,,,,,,,,,,,,
ORL-VND-00130,Dean Myers,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00131,Deborah Marsiano,TRUE,,,,,,,,,,636 Maple Oak Circle #119,,,,Altamonte Springs,FL,32701,,,,,,,,,,,,,,,,,,,
ORL-VND-00132,Dell Business Credit,TRUE,,,,,,,,,,Payment Processing Center,P O Box 5275,,,Carol Stream,IL,60197-5275,,,,,,,,,,,,,,,,,,,
ORL-VND-00133,Dell Marketing,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00134,Deluxe for Business,TRUE,,,,,,,,,,P. O. Box 88042,,,,Chicago,IL,60680-1042,,,,,,,,,,,,,,,,,,,
ORL-VND-00135,Demonstrated Strategies Management,TRUE,,,,,,,,,407-838-3100,2219 Whitehall Drive,,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,321-303-8161,
ORL-VND-00136,Devon Webber,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00137,Dexters,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00138,"Dickens & Associates, Inc.",TRUE,,,,,,,,,386-253-1511,232 Bay Street,,,,Daytona Beach,FL,32114,,,,,,,,,,,,,,,,,,,
ORL-VND-00139,Discover,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00140,Domain Networks,TRUE,,,,,,,,,,P O Box 1280,,,,Hendersonville,NC,28793,,,,,,,,,,,,,,,,,,,
ORL-VND-00141,Domain Registry of America,TRUE,,,,,,,,,,2316 Delaware Avenue #266,,,,Buffalo,NY,14216-2687,,,,,,,,,,,,,,,,,,,
ORL-VND-00142,Domonkos Cleaning Services,TRUE,,,,,,,,,,P O Box 334,,,,Goldenrod,FL,32733,,,,,,,,,,,,,,,,,,,
ORL-VND-00143,DSM,TRUE,,,,,,,,,321-303-8161,Demonstrated Strategies Mgmt,2219 Whitehall Drive,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,
ORL-VND-00144,"Dwell Homes, LLC",TRUE,,,,,,,,,,3208 - C E. Colonial Drive #166,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00145,Earl K Wood,TRUE,,,,,,,,,,P O Box 545100,,,,Orlando,FL,32854-5100,,,,,,,,,,,,,,,,,,,
ORL-VND-00146,Equitable,TRUE,,,,,,,,,,Box 371459,,,,Pittsburgh,PA,15250-7459,,,,,,,,,,,,,,,,,,,
ORL-VND-00147,Eric Buck,TRUE,,,,,,,,,,503 Zinnia Drive,,,,Casselberry,FL,32707,,,,,,,,,,,,,,,,,,,
ORL-VND-00148,Exhilirate,TRUE,,,,,,,,,,8615 Commodity Circle,Suite 8,,,Orlando,FL,32819,,,,,,,,,,,,,,,,,,,
ORL-VND-00149,Express Trucking,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00150,Fastsigns,TRUE,,,,,,,,,407-831-6334,915 State Road 436,,,,Casselberry,FL,32707,,,,,,,,,,,,,,,,,,,
ORL-VND-00151,FCM Engineering,TRUE,,,,,,,,,407-748-4348,PO Box 941168,,,,Maitland,FL,32794-1168,,,,,,,,,,,,,,,,,,,
ORL-VND-00152,Federal Express,TRUE,,,,,,,,,,PO Box 660481,,,,Dallas,TX,75266-0481,,,,,,,,,,,,,,,,,,,
ORL-VND-00153,Fiction,TRUE,,,,,,,,,,200 W. Welborne Avenue,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00154,Fidelity Press,TRUE,,,,,,,,,407-297-8484,649 Triumph Court,,,,Orlando,FL,32805,,,,,,,,,,,,,,,,,,,
ORL-VND-00155,File Genius,TRUE,,,,,,,,,888-753-2245,4850 Golden Pkwy,Ste 408,,,Buford,GA,30518,,,,,,,,,,,,,,,,,,,
ORL-VND-00156,Financial Pacific,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00157,Findsome & Winmore,TRUE,,,,,,,,,,4776 New Broad Street,Suite 100,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00158,FireMaster,TRUE,,,,,,,,,,FireMaster Dept 1019,PO Box 1019,,,Dallas,TX,75312-1019,,,,,,,,,,,,,,,,,,,
ORL-VND-00159,First Horizon,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00160,First Responders Land Care,TRUE,,,,,,,,,407-907-4523,1901 Oregon Street,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00161,Florida Community Partnership,TRUE,,,,,,,,,,P O Box 1687,,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,
ORL-VND-00162,Florida Department of Revenue,TRUE,,,,,,,,,,5050 West Tennessee Street,,,,Tallahassee,FL,32399-0110,,,,,,,,,,,,,,,,,,,
ORL-VND-00163,Florida First Forever,TRUE,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,
ORL-VND-00164,Florida Insurance,TRUE,,,,,,,,,,P O Box 7667,,,,Naples,FL,34101-7667,,,,,,,,,,,,,,,,,,,
ORL-VND-00165,Florida Notary Discount Assn.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00166,Floriida Insurance,TRUE,,,,,,,,,,P O Box 7667,,,,Naples,FL,34101-7667,,,,,,,,,,,,,,,,,,,
ORL-VND-00167,Ford & Harrison LLP,TRUE,,,,,,,,,,P O Box 890836,,,,Charlotte,NC,28289-0836,,,,,,,,,,,,,,,,,,,
ORL-VND-00168,Forest City Commercial Group,TRUE,,,,,,,,,216-621-6060,1100 Terminal Tower,50 Public Square,,,Cleveland,OH,44113,,,,,,,,,,,,,,,,,,,emerickcorsi@forestcity.net
ORL-VND-00169,Fox Windows & Glass LLC,TRUE,,,,,,,,,,1450 Palomino Way,,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,
ORL-VND-00170,Frank Davi Jr.,TRUE,,,,,,,,,,1601 Hibiscus Avenue,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00171,Frank Hamilton,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00172,Frank Norton,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00173,Freshly Cast,TRUE,,,,,,,,,,641 Williams Drive,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00174,Fusion AE - MSP Office,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00175,GA State Bd of Architects Interior Design,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00176,GCI Consultants,TRUE,,,,,,,,,,2460 Metrocentre Boulevarde,,,,West Palm Beach,FL,33407,,,,,,,,,,,,,,,,,,,
ORL-VND-00177,"Genesis Studios, Inc.",TRUE,,,,,,,,,407-539-2606,500 North Maitland Avenue,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
